,Names,Series_Amount,Series_Date,Series_Type
593,nanoMR,"$5,500,000","Jun 27, 2008",Series_A
596,Supplyframe,"$5,000,000","Feb 23, 2005",Series_A
597,Outspark,"$4,000,000","Apr 11, 2007",Series_A
598,AdMeld,"$7,000,000","Nov 10, 2008",Series_A
599,Eightfold-Logic,"$3,200,000","Jun  5, 2008",Series_A
602,Secret,"$8,600,000","Mar 10, 2014",Series_A
605,TheFind,"$7,000,000","Feb  1, 2005",Series_A
606,Savingstar,"$2,300,000","Aug 19, 2010",Series_A
607,Modu,"$20,000,000","Jun  1, 2007",Series_A
612,OpenGamma,"$2,150,000","Aug  1, 2009",Series_A
614,Revision3,"$1,000,000","Sep  1, 2006",Series_A
618,Travelata,"$5,000,000","Jul  1, 2013",Series_A
619,Paddle8,"$4,000,000","Feb  8, 2012",Series_A
620,AbilTo,"$3,000,000","May 14, 2013",Series_A
621,Quantance,"$7,000,000","Sep 15, 2006",Series_A
622,Hitviews,"$1,000,000","Mar 31, 2008",Series_A
623,TokBox,"$4,000,000","Dec 26, 2008",Series_A
625,AnchorFree,"$6,000,000","Jan  1, 2006",Series_A
626,XO-Group,"$1,600,000","Jan  1, 1996",Series_A
629,Scribd,"$3,710,000","Jun  1, 2007",Series_A
634,Ginkgo-Bioworks,"$9,000,000","Mar 18, 2015",Series_A
636,InfoScout,"$5,000,000","May  1, 2013",Series_A
640,ComparaOnline,"$5,000,000","May 13, 2012",Series_A
641,TenXer,"$1,700,000","Sep  1, 2011",Series_A
643,Astaro,"$6,200,000","May  1, 2003",Series_A
645,Slack,"$5,000,000","Apr  1, 2010",Series_A
648,Mindflash-Technologies,"$4,000,000","Jun  2, 2011",Series_A
651,Sonatype,"$4,300,000","Jun 30, 2008",Series_A
653,TextMaster,"$2,000,000","Nov 19, 2012",Series_A
654,Silver-Peak-Systems,"$12,500,000","Sep 19, 2005",Series_A
655,BOKU,"$13,000,000","Jun 16, 2009",Series_A
657,Squarespace,"$38,500,000","Jul 13, 2010",Series_A
659,Spanning,"$3,000,000","Apr  6, 2011",Series_A
660,RightScale,"$4,500,000","Apr 24, 2008",Series_A
662,iMoney,"$2,000,000","Oct 24, 2013",Series_A
663,Optoro,"$1,900,000","Jan 21, 2011",Series_A
666,MUBI,"$750,000","Aug  1, 2007",Series_A
668,Chukong-Technologies,"$1,200,000","Jan  1, 2011",Series_A
669,Anchor-Intelligence,"$2,000,000","Jan  1, 2007",Series_A
670,Xlerant,"$1,200,000","Jan 10, 2008",Series_A
671,Simplilearn,"$3,000,000","Apr  5, 2012",Series_A
672,Instantly,"$1,290,000","Apr  1, 2008",Series_A
673,Entrade-Energiesysteme-AG,"$54,000,000","Dec 31, 2012",Series_A
674,Poxel,"$20,300,000","Aug 27, 2010",Series_A
676,Cyber-Rain,"$1,500,000","Jul  8, 2008",Series_A
680,Lancope,"$5,500,000","Apr 10, 2002",Series_A
681,Article-One-Partners,"$3,000,000","Dec 15, 2009",Series_A
682,FiscalNote,"$7,000,000","Nov 19, 2014",Series_A
683,Yext,"$1,500,000","Jun  1, 2008",Series_A
685,Tradesy,"$1,500,000","Oct 20, 2012",Series_A
