Company,Series_Type
nangate,Series_B
abiquo,Series_B
coolitsystems,Series_B
levisionpictures,Series_B
brightedge,Series_B
argyledata,Series_B
protonmedia,Series_B
inedasystems,Series_B
quantcast,Series_B
toptenreviews,Series_B
ubiquityglobalservices,Series_B
coalogix,Series_B
attenex,Series_B
nurix,Series_B
themadvideo,Series_B
dimdim,Series_B
trendyol,Series_B
adnavancetechnologies,Series_B
mixercast,Series_B
decisyon,Series_B
senscient,Series_B
ciaotelecom,Series_B
watchdox,Series_B
seesawnetworks,Series_B
helmitechnologies,Series_B
coreworx,Series_B
opposingviews,Series_B
tellapart,Series_B
luminarymicro,Series_B
rockmelt,Series_B
solidodesignautomation,Series_B
globalroaming,Series_B
tipsolutions,Series_B
fleetmatics,Series_B
alereon,Series_B
venafi,Series_B
formatdynamics,Series_B
alterpoint,Series_B
forigin,Series_B
optier,Series_B
taprootsystems,Series_B
autonomictechnologies,Series_B
cloudcrowd,Series_B
prostorsystems,Series_B
engineyard,Series_B
quickshift,Series_B
pubmatic,Series_B
adeze,Series_B
aereo,Series_B
byallaccounts,Series_B
jaunt,Series_B
appnomicsystems,Series_B
spinfry,Series_B
loaddynamix,Series_B
winetworks,Series_B
transferwise,Series_B
neatorobotics,Series_B
socialtext,Series_B
thirdmotion,Series_B
newportmedia,Series_B
bluelanetechnologies,Series_B
pickspal,Series_B
iconictherapeutics,Series_B
onfocushealthcare,Series_B
jibjab,Series_B
visagemobile,Series_B
cardeaspharma,Series_B
makanipower,Series_B
netpulse,Series_B
ovascience,Series_B
healthrageous,Series_B
ardelyx,Series_B
telibrahma,Series_B
siftscience,Series_B
officenet,Series_B
pocket,Series_B
orthokinematics,Series_B
ninepointmedical,Series_B
placed,Series_B
treehouse,Series_B
sweetlabs,Series_B
ssnlogistics,Series_B
custommade,Series_B
simplefinancetechnology,Series_B
litescape,Series_B
vapotherm,Series_B
transgenomic,Series_B
thefanfaregroup,Series_B
driverside,Series_B
extendedcareinformationnetwork,Series_B
oxlosystems,Series_B
bbstechnologies,Series_B
ifttt,Series_B
cloudninehospitals,Series_B
depotpoint,Series_B
gridstoneresearch,Series_B
startwire,Series_B
belly,Series_B
phishme,Series_B
akustica,Series_B
cerapedics,Series_B
elonics,Series_B
eucalyptussystems,Series_B
goodeggs,Series_B
cardiosonic,Series_B
imagemetrics,Series_B
tirawireless,Series_B
assistly,Series_B
bluesocket,Series_B
gameskinny,Series_B
clustrix,Series_B
riverminesoftware,Series_B
bluepillar,Series_B
k2network,Series_B
6fusion,Series_B
xkoto,Series_B
aquto,Series_B
kindling,Series_B
augure,Series_B
safend,Series_B
fitbit,Series_B
konamedical,Series_B
finestrella,Series_B
luxbiosciences,Series_B
acutusmedical,Series_B
flexenergy,Series_B
targetspot,Series_B
nextstepliving,Series_B
gogobot,Series_B
kinvey,Series_B
euclid,Series_B
stumbleupon,Series_B
crossingautomation,Series_B
proclivitysystems,Series_B
launchpoint,Series_B
icebreaker,Series_B
sequanscommunications,Series_B
caratherapeutics,Series_B
quadlearning,Series_B
rotationmedical,Series_B
primesense,Series_B
identified,Series_B
dynapump,Series_B
brightroll,Series_B
glostream,Series_B
syntricity,Series_B
causes,Series_B
pnmsoft,Series_B
tarisbiomedical,Series_B
cadforce,Series_B
gemmuspharma,Series_B
renovorx,Series_B
familylink,Series_B
prolactabiosciences,Series_B
coadnaphotonics,Series_B
cognitivematch,Series_B
genapsys,Series_B
corepair,Series_B
wheelerrealestateinvestmenttrust,Series_B
revver,Series_B
genesismedia,Series_B
geovax,Series_B
predictivebiosciences,Series_B
panaya,Series_B
greenlightplanet,Series_B
ucirrus,Series_B
eurekster,Series_B
neurotherapeuticspharma,Series_B
glyde,Series_B
blackwave,Series_B
appzero,Series_B
dotblu,Series_B
omtherapharmaceuticals,Series_B
scalix,Series_B
mobango,Series_B
adeven,Series_B
promosome,Series_B
kumunetworks,Series_B
greenmountaindigital,Series_B
izea,Series_B
arkeiasoftware,Series_B
meevee,Series_B
invision,Series_B
boxtone,Series_B
busyeventmobile,Series_B
baronova,Series_B
peel,Series_B
moat,Series_B
retrevo,Series_B
xytis,Series_B
drivecam,Series_B
accountnow,Series_B
novomer,Series_B
steelhouse,Series_B
innolight,Series_B
broadreachhealthcare,Series_B
smartlunches,Series_B
newscred,Series_B
stardoll,Series_B
iconclude,Series_B
getsatisfaction,Series_B
oneriot,Series_B
xtrm,Series_B
enecsys,Series_B
adbrite,Series_B
accertify,Series_B
veriwave,Series_B
viridityenergy,Series_B
skymobilemedia,Series_B
iamcompany,Series_B
semprusbiosciences,Series_B
samplifysystems,Series_B
verticasystems,Series_B
buywithme,Series_B
pintailtechnologies,Series_B
automatedinsights,Series_B
inviviolink,Series_B
callisma,Series_B
shoesofprey,Series_B
spireglobal,Series_B
mybuys,Series_B
zerto,Series_B
3vbiosciences,Series_B
senergendevices,Series_B
cloudshare,Series_B
aveksa,Series_B
mashery,Series_B
meebo,Series_B
emeraldtherapeutics,Series_B
quofore,Series_B
bitstewsystems,Series_B
splunk,Series_B
plastiq,Series_B
quantopian,Series_B
imagespan,Series_B
luminate,Series_B
myheritage,Series_B
zenoss,Series_B
flatworldknowledge,Series_B
vorbeckmaterials,Series_B
siconnect,Series_B
mydamnchannel,Series_B
link_a_media,Series_B
avalanchebiotech,Series_B
postpath,Series_B
envionetworks,Series_B
thredup,Series_B
orthocon,Series_B
gotuitmedia,Series_B
stitchlabs,Series_B
bradfordnetworks,Series_B
plumgrid,Series_B
moz,Series_B
8thbridge,Series_B
backupify,Series_B
banjo,Series_B
yieldbuild,Series_B
weatherbug,Series_B
cascadetechnologies,Series_B
atempo,Series_B
zyncro,Series_B
zocdoc,Series_B
pptreasearch,Series_B
biopetroclean,Series_B
synack,Series_B
scalextreme,Series_B
gild,Series_B
silverbulletwatertreatment,Series_B
capellaphotonics,Series_B
collectiveintellect,Series_B
zhihu,Series_B
zipitwireless,Series_B
elementaltechnologies,Series_B
sodahead,Series_B
vhx,Series_B
mypublisher,Series_B
puppetlabs,Series_B
sequenta,Series_B
takelessons,Series_B
myhealthdirect,Series_B
cloudphysics,Series_B
valenciatechnologies,Series_B
blogtalkradio,Series_B
tradeking,Series_B
kidaro,Series_B
opgen,Series_B
sosh,Series_B
signostics,Series_B
virobay,Series_B
thesanpharmaceuticals,Series_B
petrasolar,Series_B
soluto,Series_B
3tier,Series_B
zilkerlabs,Series_B
sparkcentral,Series_B
astutenetworks,Series_B
zettics,Series_B
syndaxpharmaceuticals,Series_B
radioframe,Series_B
teradici,Series_B
starwindsoftware,Series_B
lot18,Series_B
targetcastnetworks,Series_B
augmenix,Series_B
yuantiku,Series_B
telltalegames,Series_B
bloomspot,Series_B
grockit,Series_B
nextimagemedical,Series_B
analogdesignautomation,Series_B
twice,Series_B
nextbio,Series_B
swaptree,Series_B
skyboximaging,Series_B
niteroll,Series_B
bluebox,Series_B
healthination,Series_B
utilidata,Series_B
jiwire,Series_B
matrixxsoftware,Series_B
morphlabs,Series_B
limeroad,Series_B
planitax,Series_B
koding,Series_B
dermtechinternational,Series_B
intradigm,Series_B
newlans,Series_B
voltdb,Series_B
appliedmicrostructures,Series_B
nanomech,Series_B
apalya,Series_B
iwalk,Series_B
nanigans,Series_B
dizzywood,Series_B
restorando,Series_B
dobleas,Series_B
viametpharmaceuticals,Series_B
zenprise,Series_B
zyomyx,Series_B
toleratherapeutics,Series_B
richrelevance,Series_B
mendocinosoftware,Series_B
hipmunk,Series_B
interactivetko,Series_B
jiff,Series_B
facetsolutions,Series_B
retrofit,Series_B
marseillenetworks,Series_B
aldeapharmaceuticals,Series_B
surfair,Series_B
boulderwindpower,Series_B
sierrasurgicaltechnologies,Series_B
recyclebank,Series_B
lotame,Series_B
cfares,Series_B
micurxpharmaceuticals,Series_B
limeade,Series_B
knowledgetree,Series_B
intercom,Series_B
accuvein,Series_B
baihe,Series_B
cyatechnologies,Series_B
cradlepointtechnology,Series_B
evogene,Series_B
mobilitec,Series_B
xaware,Series_B
perceptis,Series_B
radarnetworks,Series_B
eatclub,Series_B
delphix,Series_B
cumulusnetworks,Series_B
tricipher,Series_B
updatelogic,Series_B
pley,Series_B
autoquake,Series_B
piazza,Series_B
thereceivablesexchange,Series_B
workflexsolutions,Series_B
kaiam,Series_B
sittercity,Series_B
imtheramedical,Series_B
openbravo,Series_B
passportsystems,Series_B
creditbenchmark,Series_B
thinkingphones,Series_B
amec,Series_B
endoevolution,Series_B
inipowersystems,Series_B
funxionaltherapeutics,Series_B
leisurelink,Series_B
smartling,Series_B
chango,Series_B
neocleus,Series_B
trovix,Series_B
dowleysecuritysystems,Series_B
kyribajapan,Series_B
sprig,Series_B
sapienceanalytics,Series_B
payoneer,Series_B
thisnext,Series_B
openclovis,Series_B
portero,Series_B
appliedidentity,Series_B
socialpoint,Series_B
memsql,Series_B
zignallabs,Series_B
simpleenergy,Series_B
homejoy,Series_B
coolerado,Series_B
egalet,Series_B
connotate,Series_B
ariasystems,Series_B
enevo,Series_B
revivapharmaceuticals,Series_B
casabi,Series_B
routehappy,Series_B
aepona,Series_B
travelmuse,Series_B
fanzter,Series_B
engrade,Series_B
reefpointsystems,Series_B
crocustechnology,Series_B
fulcrumbioenergy,Series_B
healionics,Series_B
fivestars,Series_B
digitalrailroad,Series_B
whoop,Series_B
movableink,Series_B
jelastic,Series_B
reflexsystems,Series_B
pepperdata,Series_B
elacarte,Series_B
rajant,Series_B
glassdoor,Series_B
emisensetechnologies,Series_B
esosolutions,Series_B
valentx,Series_B
docutap,Series_B
glenroseinstruments,Series_B
jivesoftware,Series_B
fiksu,Series_B
touchtype,Series_B
prexapharmaceuticals,Series_B
workmarket,Series_B
cirisenergy,Series_B
memeo,Series_B
cloudian,Series_B
microfabrica,Series_B
orasimedical,Series_B
playerx,Series_B
alertenterprise,Series_B
malauzaisoftware,Series_B
ugobe,Series_B
quandoo,Series_B
maxymiser,Series_B
pulsetherapeutics,Series_B
ziftentechnologies,Series_B
datapop,Series_B
sereshealth,Series_B
synosiatherapeutics,Series_B
liquidhub,Series_B
miragentherapeutics,Series_B
6sense,Series_B
affinitycircles,Series_B
savaaricarrentals,Series_B
wasteremedies,Series_B
yottamark,Series_B
localytics,Series_B
affinesystems,Series_B
avantismedicalsystems,Series_B
cernostics,Series_B
philo,Series_B
sympoz,Series_B
alertlogic,Series_B
kytherabiopharmaceuticals,Series_B
naurex,Series_B
fuhu,Series_B
panzura,Series_B
shubhamhousingdevelopmentfinancecompany,Series_B
jobaline,Series_B
nowait,Series_B
poweranalogmicroelectronics,Series_B
twinstrata,Series_B
ubiquisys,Series_B
adzcentral,Series_B
91jinrong,Series_B
carbylanbiosurgery,Series_B
chargebee,Series_B
b5m,Series_B
verastem,Series_B
zillow,Series_B
hyperactivetechnologies,Series_B
adscale,Series_B
openroadintegratedmedia,Series_B
brightpearl,Series_B
vocalocity,Series_B
mercatormedsystems,Series_B
pronutria,Series_B
inmagesystems,Series_B
