,Company,Series,Total_Likes,Total_Retweets,Avg_Tweets,Series_Amount,Series_Date
359,Causata,Series_A,,,,4500000,"Oct  5, 2009"
360,Crowdtap,Series_A,,,,7000000,"Jul 27, 2011"
361,Whaleback-Systems,Series_A,,,,3000000,"Jul 27, 2005"
362,Segment,Series_A,,,,15000000,"Oct 18, 2014"
363,DoubleVerify,Series_A,,,,3500000,"May 18, 2009"
364,NextMedium,Series_A,,,,3500000,"Feb  1, 2005"
365,3D-robotics,Series_A,,,,5000000,"Nov  5, 2012"
366,PunchTab,Series_A,,,,4400000,"Nov  8, 2011"
367,MyEdu,Series_A,,,,3200000,"Jan  1, 2009"
368,Truveris,Series_A,,,,3800000,"Feb  1, 2011"
369,Etaoshi,Series_A,,,,10000000,"Nov 27, 2013"
370,Alcyone-Lifesciences,Series_A,,,,1800000,"Mar 28, 2012"
371,Mixbook,Series_A,,,,800000,"Jan  1, 2008"
372,Currency-Cloud,Series_A,,,,4000000,"Mar 13, 2012"
373,PrestaShop,Series_A,,,,3750000,"Aug 31, 2011"
374,Gainspeed,Series_A,,,,23300000,"Jan 14, 2013"
375,General-Assembly,Series_A,,,,4250000,"Sep  7, 2011"
376,Bridgevine,Series_A,,,,3250000,"Dec 28, 2005"
377,Geni,Series_A,,,,1500000,"Jun  1, 2006"
378,PubNub,Series_A,,,,4500000,"Mar 21, 2012"
379,Kissmetrics,Series_A,,,,2800000,"Jul 28, 2009"
380,Lastline,Series_A,,,,900000,"Apr 11, 2013"
381,Chumby-Industries,Series_A,,,,5000000,"Dec  1, 2006"
382,Swipely,Series_A,,,,7500000,"May  1, 2010"
383,Clicksquared,Series_A,,,,36700000,"Sep  5, 2007"
384,Dynamic-Signal,Series_A,,,,8000000,"Feb 17, 2011"
385,Accedian-Networks,Series_A,,,,4000000,"Mar  9, 2006"
386,NonProfitEasy,Series_A,,,,550000,"Sep 26, 2012"
387,Zecco,Series_A,,,,6000000,"Nov 28, 2006"
388,Artspace,Series_A,,,,2500000,"Jan 31, 2012"
389,Natrix-Separations,Series_A,,,,1700000,"Sep 26, 2005"
390,Decide,Series_A,,,,2500000,"Jan  1, 2010"
391,EyeEm,Series_A,,,,5000000,"Jul 17, 2013"
392,OutSmart-Power-Systems,Series_A,,,,3600000,"Oct  9, 2013"
393,Boxee,Series_A,,,,4000000,"Nov 18, 2008"
394,Sermo,Series_A,,,,3000000,"Sep  1, 2006"
395,Hightower,Series_A,,,,6500000,"Aug 21, 2014"
396,Cloud-Sherpas,Series_A,,,,1600000,"Nov  3, 2010"
397,Convey-Computer,Series_A,,,,16000000,"Jul 30, 2007"
398,SkyGrid,Series_A,,,,2250000,"Jan  1, 2006"
399,Experience-Project,Series_A,,,,900000,"Feb  1, 2008"
400,VoxPop-Network,Series_A,,,,2000000,"May  1, 2007"
401,BranchOut,Series_A,,,,6000000,"Sep  9, 2010"
402,WiserTogether,Series_A,,,,3000000,"Oct 17, 2011"
403,LabNow,Series_A,,,,14000000,"Sep 29, 2004"
404,OurStage,Series_A,,,,17000000,"Apr  3, 2008"
405,AdReady,Series_A,,,,2000000,"Jul 28, 2007"
406,DataSift,Series_A,,,,6000000,"Jul 11, 2011"
407,Loggly,Series_A,,,,9870000,"May 19, 2012"
408,Jumio,Series_A,,,,6500000,"Mar 17, 2011"
409,Axial-Biotech,Series_A,,,,4099999,"Mar  1, 2005"
410,SkyCell-AG,Series_A,,,,3500000,"Apr 25, 2014"
411,Profitably,Series_A,,,,1100000,"Mar 18, 2011"
412,Librato,Series_A,,,,3800000,"Jul 25, 2013"
413,Living-Proof,Series_A,,,,7000000,"Aug 25, 2008"
414,Nomadesk,Series_A,,,,4000000,"Mar 23, 2007"
415,myhomemove,Series_A,,,,2500000,"Nov 24, 2005"
416,Metamarkets,Series_A,,,,6000000,"May 31, 2011"
417,Moogsoft,Series_A,,,,7000000,"May 29, 2013"
418,Altius-Education,Series_A,,,,8000000,"Sep 23, 2009"
419,Retailigence,Series_A,,,,2600000,"Sep  1, 2011"
